startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate,SpRQADet,SpRQALam
0.0,7931.754978691124,246132.62016331597,323367.59744114766,1.5940122024546437,4.604261796042618,14.462809917355372,4.958677685950414
0.498,8003.795322001239,248383.13083475237,323367.59744114766,1.596649091793268,4.776008885597927,15.116279069767442,4.651162790697675
0.996,8133.887923863072,262080.88048826516,357840.0898962185,1.5981923919512835,4.627915586819697,15.600000000000001,4.800000000000001
1.494,8087.12723297784,265091.06142726244,357840.0898962185,1.6010258291418684,4.405775638652351,16.386554621848738,5.042016806722689
1.992,8218.248957475595,267277.4970273994,354149.68775600905,1.6401778650648733,4.252252252252252,16.525423728813557,5.084745762711864
2.49,8500.640417343906,271131.24511850736,355596.91722000507,1.6463446664220551,4.0,17.105263157894736,2.631578947368421
2.988,8484.589962377844,278268.2241407414,363560.4548847383,1.6625304377870658,3.9279279279279278,17.889908256880734,2.7522935779816518
3.486,8352.360908622568,284639.53079621145,366993.8831850529,1.6630042790540724,3.9985190670122175,18.055555555555557,2.7777777777777777
3.984,8234.720147187749,296046.61634495173,372217.9584336127,1.5632335657014789,4.071537290715373,18.22429906542056,2.803738317757009
4.482,8235.785152450157,297449.92387618386,373066.9542917928,1.5466212029994852,3.9954337899543377,18.57142857142857,2.8571428571428568
4.98,8292.158171982854,298906.02334623545,373066.9542917928,1.5415741999065795,4.146612365790448,20.982142857142858,4.464285714285714
5.478,8097.479254264253,301800.5635062715,373066.9542917928,1.5352598129931214,4.504504504504505,29.6,12.8
5.976,8043.723145578138,304508.8899411648,373066.9542917928,1.5264703123659826,4.576576576576577,30.708661417322837,15.748031496062993
6.474,7834.504010793365,303865.703935378,373066.9542917928,1.5295614350960818,4.9611255090707145,32.462686567164184,16.417910447761194
6.972,7914.726454591182,289163.69383766636,364384.79469508165,1.564937319346568,5.109218807848944,32.608695652173914,15.942028985507246
7.47,8089.352410332014,265153.612610541,354528.8125617013,1.5296532729841033,5.081081081081081,31.914893617021278,15.602836879432624
7.968,8251.914157083856,260689.94727719636,354528.8125617013,1.5166270306341914,4.972972972972973,31.52173913043478,15.942028985507246
8.466,8007.045801497514,259379.16205188,354528.8125617013,1.4903909465913514,5.081081081081081,30.851063829787236,15.602836879432624
8.964,8137.598931463406,258741.60318501902,354528.8125617013,1.4943311617963968,4.900900900900901,31.98529411764706,16.176470588235297
9.462,7915.396601165787,259308.9189888671,354528.8125617013,1.489080471493983,4.604261796042618,28.925619834710744,18.181818181818183
9.96,7906.140976380517,256604.4645079862,354528.8125617013,1.4904440971304642,4.680365296803653,28.455284552845526,17.88617886178862
10.458,8041.138253350666,257061.82144857003,354528.8125617013,1.493833823408736,4.756468797564688,28.0,17.6
10.956,7876.91080424019,257483.86884704916,352102.6313244442,1.4914153420022418,4.984779299847793,32.06106870229008,19.083969465648856
11.454,7780.3093380738665,260113.35761888346,352102.6313244442,1.4901424777909742,4.773082942097027,33.19672131147541,20.491803278688526
11.952,7678.281336323927,259301.8047557737,357184.86193705816,1.492010204213637,4.908675799086758,34.10852713178295,19.379844961240313
12.45,7536.6379068616625,261899.71282759224,369609.17542885686,1.4941982136045788,5.0228310502283104,35.60606060606061,18.939393939393938
12.948,7823.465083369657,248953.95928766258,369609.17542885686,1.503322929239945,5.18326545723806,33.57142857142857,17.857142857142858
13.446,7581.278422596902,218734.74739624863,310214.52896229055,1.4871000321161683,5.47945205479452,33.78378378378378,16.89189189189189
13.944,7542.828217686796,217946.90368471819,310214.52896229055,1.5077368001968856,5.555555555555555,34.24657534246575,17.123287671232877
14.442,7362.435119853663,217057.99632187415,310214.52896229055,1.5370459000322774,5.835010060362173,34.48275862068966,17.24137931034483
14.94,7218.206066087456,221719.68692801357,310214.52896229055,1.5458529925727509,5.924978687127025,34.89208633093525,17.985611510791365
15.438,7056.107200202899,221222.71562402998,310214.52896229055,1.5028121653762714,5.87991718426501,34.154929577464785,17.6056338028169
15.936,7033.417525731416,221838.3618880093,310891.427559234,1.5033420009973955,5.87991718426501,34.154929577464785,17.6056338028169
16.434,6427.165391338243,208564.93981434702,275848.53179195715,1.5038801278668152,5.7945566286215975,34.09090909090909,18.939393939393938
16.932,6157.526044002326,212702.0707889539,275848.53179195715,1.4678180471818978,6.0606060606060606,34.701492537313435,18.65671641791045
17.43,5809.1932272831555,215829.47127105226,275848.53179195715,1.4150496153974237,6.433566433566433,38.04347826086956,20.28985507246377
17.928,5664.559400661023,214827.85324657668,275848.53179195715,1.3846521675353283,6.993006993006993,43.666666666666664,28.0
18.426,5434.642220509731,215001.17768470178,275848.53179195715,1.3694029069826015,7.259615384615385,47.682119205298015,33.11258278145696
18.924,5260.167545550732,215363.06888527644,275848.53179195715,1.3627236547557142,7.06605222734255,48.91304347826087,36.95652173913044
19.422,5210.9295355678,211957.65078789418,278343.852208155,1.3580851229965227,6.795634920634921,46.715328467153284,38.68613138686131
19.92,5082.636996551462,215899.38510680594,278343.852208155,1.3789014025856212,7.049180327868853,48.44961240310078,41.08527131782946
20.418,4752.661860884651,211445.24263564736,263513.375194806,1.4063339549534448,7.3224043715847,47.76119402985075,39.55223880597015
20.916,4783.762592875026,204400.03458315152,251872.57410936107,1.4787890187688681,8.022598870056497,48.239436619718305,37.323943661971825
21.414,5032.946675041802,203286.08536639504,251386.4985410492,1.5470335282461758,8.306010928961749,48.026315789473685,36.8421052631579
